time,value
1,100
2,100.88
3,101.252
4,100.699
5,100.728
6,103.255
7,103.277
8,104.535
9,104.053
10,104.842
11,105
12,103.711
13,101.441
14,101.38
15,101.247
16,100.166
17,98.9887
18,98.2865
19,97.8933
20,96.997
21,97.5681
22,96.8996
23,96.2288
24,96.7044
25,97.1735
26,96.4949
27,97.3032
28,95.7721
29,96.4155
30,97.2174
31,97.8291
32,98.3758
33,98.247
34,99.3215
35,100.731
36,101.134
37,100.94
38,102.259
39,102.408
40,102.396
41,102.41
42,102.887
43,103.565
44,103.1
45,103.829
46,103.072
47,102.378
48,102.454
49,102.011
50,101.268
51,102.66
52,103.198
53,103.726
54,103.013
55,102.479
56,105.081
57,103.184
58,104.371
59,105.212
60,106.525
61,106.049
62,106.164
63,106.695
64,108.177
65,106.389
66,105.199
67,104.859
68,105.148
69,105.832
70,103.1
71,102.545
72,102.458
73,103.836
74,102.131
75,101.919
76,101.149
77,100.561
78,99.9823
79,99.715
80,97.9634
81,99.8316
82,101.178
83,100.942
84,101.632
85,101.663
86,101.711
87,101.414
88,100.879
89,99.6135
90,100.504
91,100.607
92,101.046
93,101.467
94,102.337
95,100.439
96,100.561
97,101.102
98,100.545
99,99.4518
100,98.8095
101,100.196
102,100.187
103,98.2629
104,98.6704
105,97.3484
106,98.916
107,99.5133
108,100.652
109,99.6056
110,99.8995
111,100.888
112,99.6649
113,99.8071
114,98.5734
115,98.5865
116,100.482
117,100.903
118,101.285
119,102.03
120,103.369
121,102.373
122,101.675
123,101.82
124,102.534
125,102.387
126,101.865
127,101.297
128,100.497
129,98.7828
130,100.206
131,100.861
132,100.588
133,100.021
134,98.053
135,96.7269
136,96.6559
137,96.0358
138,95.5187
139,94.1541
140,94.9415
141,95.0026
142,94.2253
143,94.0933
144,92.7865
145,93.1996
146,92.3896
147,91.5338
148,90.4414
149,89.1954
150,89.6928
151,89.2405
152,91.3379
153,93.3821
154,93.3463
155,92.8166
156,91.5445
157,90.052
158,90.4467
159,90.3739
160,89.3544
161,90.1113
